csi_index,ltf_block,ltf_local_index,stable_mean,empty_mean,mean_abs_difference,stable_std,empty_std,stable_median,empty_median,stable_iqr,empty_iqr,stable_frame_diff,empty_frame_diff,effect_score
0,LLTF,0,49.64876634922178,49.64876634922122,5.613287612504791e-13,3.858247055177344e-12,4.419575816427823e-12,49.64876634922564,49.64876634922564,0.0,0.0,0.0,0.0,0.1353115692219785
1,LLTF,1,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2,LLTF,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLTF,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,LLTF,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,LLTF,5,4.327274922437279,4.309684075572455,0.017590846864823817,0.8751203671986219,1.1894556067190778,4.47213595499958,4.47213595499958,1.0,1.0990195135927845,0.8746243687316232,1.2277093029675221,0.0168465016578125
6,LLTF,6,17.11508925483245,17.278245143289045,0.16315588845659335,2.7496246409805245,4.296372142022581,17.69180601295413,18.973665961010276,1.384776310850235,1.9550766914343676,2.0902273157871836,3.845698819869774,0.045234559936354175
7,LLTF,7,17.406109867823318,17.382278705099612,0.023831162723706,2.8120122812695443,4.318293245825141,18.027756377319946,19.026297590440446,1.3964247036530217,1.8932217888273506,2.08902904172745,3.8328777709158794,0.006540131908125829
8,LLTF,8,17.91825749119862,17.66970358166415,0.24855390953446843,2.947147684697928,4.3433716050120035,18.439088914585774,19.209372712298546,1.3004793597779418,1.972243622680054,2.147861882039712,3.850611333221289,0.06696847503694509
9,LLTF,9,18.262688549510855,17.741097252831224,0.521591296679631,2.9879895385216613,4.356727010962578,18.867962264113206,19.235384061671343,1.3887314616276534,1.9142141182259529,2.174747913828384,3.870282562877493,0.13962783867841785
10,LLTF,10,17.816343244271344,17.031213038078832,0.7851302061925125,2.8730292664975825,4.232150216138241,18.384776310850235,18.439088914585774,1.306252443771097,1.7711348650983645,2.0971029581841667,3.769625991914309,0.21706662617466801
11,LLTF,11,17.635278487297136,16.653981537431,0.9812969498661346,2.8713652943053347,4.128676111164147,18.110770276274835,18.110770276274835,1.4037130675402274,1.8385758981868037,2.10093209461621,3.69544443257736,0.275952909967746
12,LLTF,12,17.526673328924225,16.314806812551314,1.2118665163729112,2.887950963325314,4.035131055376001,18.027756377319946,17.72004514666935,1.5256177264238673,1.7957719374925354,2.1357055731369328,3.6189175033560956,0.34538488537624806
13,LLTF,13,17.186203427502722,15.830947721875498,1.3552557056272239,2.8479458408367826,3.9038242469013915,17.72004514666935,17.204650534085253,1.4390889145857741,1.9032408807228478,2.137407733440079,3.5010261888836403,0.3966311826150555
14,LLTF,14,16.898231118867276,15.315354692211589,1.5828764266556874,2.7961107341909264,3.7734593768725517,17.46424919657298,16.55294535724685,1.264701763079735,1.6421771498187603,2.0477845142380993,3.4014916646380366,0.47663564123519486
15,LLTF,15,17.03383824387737,15.21949321828068,1.8143450255966886,2.862761368314046,3.748412278792052,17.4928556845359,16.492422502470642,1.248287590894659,1.4967434168103821,2.068049132332331,3.365648686444104,0.5440125722412883
